time_step,eval_return_mean,eval_std_mean,timestamp
0,-1056.3308599690743,360.9086343087543,2022-01-18 10:42:49
10000,-1283.6614216135124,236.79934893602166,2022-01-18 10:43:10
20000,-1325.9108876498872,40.44710057673453,2022-01-18 10:45:21
30000,-801.2749313744796,142.8384794020541,2022-01-18 10:47:30
40000,-440.0673803645379,88.56037270934871,2022-01-18 10:49:38
50000,-500.20717168139254,139.09930544277805,2022-01-18 10:51:45
60000,44.83857993462901,326.0952095033814,2022-01-18 10:53:52
70000,-286.0259197558461,763.804911413052,2022-01-18 10:56:00
80000,-513.7344579207077,668.0360040888322,2022-01-18 10:58:15
90000,-168.38890959466008,109.10027872361492,2022-01-18 11:00:40
100000,572.0084002267365,41.5573766811236,2022-01-18 11:02:55
110000,-307.01895563332033,30.4329195379117,2022-01-18 11:05:10
120000,-62.46676287465821,520.8503506999078,2022-01-18 11:07:34
130000,-666.4500434130202,168.63930773142246,2022-01-18 11:09:45
140000,699.9512976603486,45.811488637446566,2022-01-18 11:11:55
150000,48.0714056782191,118.41437072218959,2022-01-18 11:14:07
160000,-283.24516119346936,600.7559034775315,2022-01-18 11:16:18
170000,-491.61395676815243,161.26908520459787,2022-01-18 11:18:39
180000,-928.338571979665,184.11669803844927,2022-01-18 11:21:01
190000,139.58220639959677,206.73564129233955,2022-01-18 11:23:11
200000,651.901196024716,27.61820846741429,2022-01-18 11:25:24
210000,-60.01555104787553,403.90832378054245,2022-01-18 11:27:40
220000,566.9115107381255,61.324469417128064,2022-01-18 11:29:59
230000,-489.2126900909575,261.0842167230371,2022-01-18 11:32:15
240000,-1482.082166659742,68.1477997242356,2022-01-18 11:34:29
250000,592.5816632848688,64.6535270223082,2022-01-18 11:36:41
260000,455.49560372020534,160.82610450348142,2022-01-18 11:38:58
270000,-1235.588503151385,181.5113583008763,2022-01-18 11:41:12
280000,-526.7263690771579,375.63546048753176,2022-01-18 11:43:33
290000,461.6412120797301,558.5880403535563,2022-01-18 11:46:15
300000,-378.8968564473527,416.01633939700014,2022-01-18 11:48:43
310000,608.9617799125673,42.74630260312861,2022-01-18 11:50:57
320000,75.23996010216503,797.0852297535679,2022-01-18 11:53:07
330000,587.9353871673042,106.25488737270109,2022-01-18 11:55:31
340000,360.5114092957986,158.3841911998046,2022-01-18 11:58:13
350000,-124.18414211629688,252.0023754280333,2022-01-18 12:00:23
360000,13.842564755528992,517.7026528377756,2022-01-18 12:02:32
370000,-191.51353553909502,154.05846248185546,2022-01-18 12:04:44
380000,308.55697704280135,74.31011709510997,2022-01-18 12:06:51
390000,-218.1010394854527,279.05112839801956,2022-01-18 12:09:04
400000,236.88102994505772,129.6429570676166,2022-01-18 12:11:13
410000,519.0125631277143,416.72693860401654,2022-01-18 12:13:19
420000,622.6513931505094,120.40802769615917,2022-01-18 12:15:26
430000,-46.77689299480873,723.7567482172295,2022-01-18 12:17:35
440000,285.44390715775336,369.8724500732926,2022-01-18 12:19:42
450000,681.4051965126819,73.3698235082573,2022-01-18 12:21:50
460000,-69.02214832603147,97.99570142283285,2022-01-18 12:23:59
470000,-934.1302620681084,102.76339605194667,2022-01-18 12:26:09
480000,-166.46596198332333,249.39092995553213,2022-01-18 12:28:28
490000,351.65290191640827,476.01792808305487,2022-01-18 12:30:40
500000,389.59088029542704,259.1019659943185,2022-01-18 12:32:52
510000,41.603134891079144,108.51592083003841,2022-01-18 12:35:01
520000,732.3358914724954,22.922679689080713,2022-01-18 12:37:17
530000,87.27765045303735,109.98916653977123,2022-01-18 12:39:28
540000,568.8992909095269,372.48723010579033,2022-01-18 12:41:41
550000,-709.8319406737245,312.81988680366,2022-01-18 12:43:46
560000,-46.6602317107713,456.5611346731035,2022-01-18 12:45:51
570000,442.98456990750583,300.3319397653795,2022-01-18 12:47:56
580000,-370.16786575759244,294.61089466170944,2022-01-18 12:50:00
590000,-144.24935876329928,343.22569024973245,2022-01-18 12:52:06
600000,-397.74923444123186,488.4940188887932,2022-01-18 12:54:12
610000,262.4373007125003,185.05078195117912,2022-01-18 12:56:22
620000,699.3137525874688,35.95258633089477,2022-01-18 12:58:35
630000,434.8381293281738,672.4793708814999,2022-01-18 13:00:45
640000,240.2557281423346,225.1931421362049,2022-01-18 13:02:51
650000,504.1339973660947,487.29766125845396,2022-01-18 13:04:59
660000,-113.45066603937353,813.9569452853688,2022-01-18 13:07:10
670000,335.96382719992823,144.06501760007595,2022-01-18 13:09:17
680000,340.34136534734927,526.4171641500131,2022-01-18 13:11:26
690000,319.62151803210133,167.7963370656425,2022-01-18 13:13:39
700000,374.34159065780796,136.3135434298772,2022-01-18 13:15:50
710000,-307.6073644142351,235.13914889070546,2022-01-18 13:18:01
720000,-451.3598003545264,81.11512769391506,2022-01-18 13:20:11
730000,120.8630466702416,538.4560683790415,2022-01-18 13:22:22
740000,-119.68346525323845,953.9454601470424,2022-01-18 13:24:31
750000,201.28473402915537,467.50385314931617,2022-01-18 13:26:41
760000,170.6273953368821,824.0493039696197,2022-01-18 13:28:49
770000,49.948156818097,409.43226454773554,2022-01-18 13:31:15
780000,-76.95180141459828,578.421681783134,2022-01-18 13:33:31
790000,-774.0474039701662,321.5937987892262,2022-01-18 13:35:49
800000,-424.63523541007555,815.088835965851,2022-01-18 13:38:02
810000,-825.8563573993981,138.31346428300043,2022-01-18 13:40:17
820000,-355.19678105788955,454.48456758116083,2022-01-18 13:42:34
830000,-171.92114581035318,424.0733187204692,2022-01-18 13:44:56
840000,70.79736826078795,548.3983232404161,2022-01-18 13:47:18
